key,text
vwa--boot,Void War Access cargado.
vwa--action-stop-speech,Detener la voz
vwa--action-panic-reset,Reiniciar la voz
vwa--speech-reset,Voz reiniciada
vwa--action-nav-up,Navegar hacia arriba
vwa--action-nav-down,Navegar hacia abajo
vwa--action-nav-left,Navegar a la izquierda
vwa--action-nav-right,Navegar a la derecha
vwa--action-nav-activate,Activar
vwa--action-nav-next-stop,Siguiente grupo de controles
vwa--action-nav-prev-stop,Grupo de controles anterior
vwa--action-nav-home,Saltar al primer control
vwa--action-nav-end,Saltar al último control
vwa--pos-of,{n} de {m}
vwa--no-action,Sin acción
vwa--role-button,botón
vwa--role-toggle,conmutador
vwa--role-slider,deslizador
vwa--screen-menu,Menú
vwa--role-combo,cuadro combinado
vwa--state-checked,marcado
vwa--state-unchecked,no marcado
vwa--state-selected,seleccionado
vwa--state-disabled,no disponible
vwa--action-nav-back,Atrás
vwa--screen-confirm,Confirmación
vwa--screen-pause,Menú de pausa
vwa--group-generic,grupo
vwa--role-option,opción
